seq
,0.00648, 0.011167, 0.012668, 0.029472, 0.106029, 0.291235, 0.913405, 4.480131
,0.00707, 0.011296, 0.013261, 0.030057, 0.089827, 0.265139, 0.884997, 4.600493
,0.006445, 0.009647, 0.012537, 0.03168, 0.086569, 0.275686, 0.888163, 4.536828
,0.006449, 0.008138, 0.01411, 0.031232, 0.085537, 0.287125, 0.889957, 4.580294
,0.005457, 0.01132, 0.013923, 0.032853, 0.100035, 0.290056, 0.929517, 4.622795
,0.006772, 0.009452, 0.01464, 0.032539, 0.083882, 0.291737, 0.926129, 4.752183


omp, num_threads, 32
grid_size, 32, 64, 128, 256, 512, 1024, 2048, 4096
,0.013419, 0.014373, 0.016564, 0.030176, 0.109466, 0.263741, 0.903405, 3.618585
,0.014424, 0.015227, 0.014465, 0.0298, 0.111704, 0.282705, 0.899534, 3.888893
,0.012119, 0.016463, 0.014292, 0.029401, 0.101158, 0.288501, 0.905057, 3.791209
,0.014269, 0.015455, 0.014222, 0.028775, 0.105007, 0.288272, ,0.905472, 3.77255
,0.013839, 0.015231, 0.01797, 0.027003, 0.102053, 0.292163, 0.912326, 3.733297
,0.013566, 0.013557, 0.016302, 0.027477, 0.102911, 0.290007, 0.914549, 3.746617
,0.013716, 0.012582, 0.014942, 0.025749, 0.108666, 0.285711, 0.924742, 3.793302
,0.014697, 0.013066, 0.013857, 0.03003, 0.116565, 0.289496, 0.910379, 3.696001
,0.015304, 0.015726, 0.016945, 0.028851, 0.119031, 0.287342, 0.923656, 3.742443
,0.013482, 0.014346, 0.0153, 0.028621, 0.11853, 0.291438, 0.915633, 3.85826


pth, num_threads, 1
grid_size, 32, 64, 128, 256, 512, 1024, 2048, 4096
,0.004719, 0.01003, 0.035942, 0.067624, 0.202631, 0.790014, 3.499846, 11.754783
,0.005133, 0.01203, 0.028582, 0.073669, 0.205882, 0.799773, 3.329306, 13.333878
,0.004813, 0.011048, 0.032841, 0.073376, 0.225449, 0.723508, 3.240356, 11.791424
,0.005278, 0.010829, 0.032032, 0.06468, 0.205475, 0.758141, 3.548722, 12.990109
,0.004803, 0.012099, 0.033981, 0.063454, 0.202222, 0.751832, 3.314574, 10.706407
,0.004865, 0.011344, 0.029794, 0.068503, 0.201971, 0.758426, 3.586346, 11.362248
,0.004963, 0.010467, 0.033915, 0.060866, 0.223247, 0.861899, 3.280767, 11.821125
,0.005068, 0.010279, 0.03295, 0.065577, 0.218481, 0.850556, 3.455751, 11.775562
,0.00459, 0.011335, 0.029781, 0.075152, 0.201719, 0.779214, 3.633233, 12.330261


pth, num_threads, 2
grid_size, 32, 64, 128, 256, 512, 1024, 2048, 4096
,0.004684, 0.007361, 0.016621, 0.045812, 0.110153, 0.394493, 1.763049, 6.518358
,0.004446, 0.007322, 0.016048, 0.044866, 0.116054, 0.401666, 1.740044, 5.60444
,0.0046, 0.006563, 0.017054, 0.046825, 0.118189, 0.40374, 1.791234, 5.986389
