MPI_Bcast
array_size, 1024
,0.000000, 0.000445, 0.000621, 0.001141, 0.000408, 0.025800
,0.000000, 0.000449, 0.000645, 0.001111, 0.000423, 0.000929
,0.000000, 0.000399, 0.000593, 0.001166, 0.000444, 0.000328
,0.000001, 0.000528, 0.000614, 0.001247, 0.000452, 0.000314
,0.000000, 0.000345, 0.001098, 0.001138, 0.000453, 0.000533
,0.000000, 0.000298, 0.000605, 0.001082, 0.000500, 0.000466
,0.000000, 0.000382, 0.000607, 0.001044, 0.000262, 0.000698
,0.000001, 0.000302, 0.000791, 0.001045, 0.000279, 0.000686
,0.000001, 0.000313, 0.000623, 0.001165, 0.000174, 0.000762
,0.000001, 0.000373, 0.000807, 0.001135, 0.000383, 0.000759



-,-,-,-,-,-,-



custom_bcast
array_size, 1024
np, 1, 2, 4, 8, 16, 32


array_size, 2048
np, 1, 2, 4, 8, 16, 32


array_size, 4096
np, 1, 2, 4, 8, 16, 32


array_size, 8192
np, 1, 2, 4, 8, 16, 32


array_size, 16384
np, 1, 2, 4, 8, 16, 32


array_size, 32768
np, 1, 2, 4, 8, 16, 32


array_size, 65536
np, 1, 2, 4, 8, 16, 32


array_size, 131072
np, 1, 2, 4, 8, 16, 32


